game_id,title,description,genre,game_vibes,mechanics,distribution,platform,visual_style,age_rating,region,story_pref,emotional_fit,mood_tags
1049,Half-Life,"Deep in the bowels of the Black Mesa Federal Research Facility, a decommissioned missile base, a top secret project is underway. A portal has been opened to another dimension, and human science has never seen anything like the world on the other side.You are Gordon Freeman, a young research associate in the Anomalous Materials Laboratory. You have limited security clearance and no real idea of just how dangerous your job has become, until the morning you are sent alone into the Test Chamber to analyze of a strange crystalline specimen. A routine analysis, they tell you. Until something goes wrong.Is it sabotage? An accident? Or is it something you did? All you hear is screaming; all you see is spacetime shattering. The next thing you know, the entire Black Mesa Facility is a nightmare zone, with sirens wailing and scientists fleeing in terror from the things their co-workers have become.Hordes of creatures from the far side of the portal are pouring through rifts in the local fabric of reality. Monsters are everywhere. Madness rules. You head for the surface, but the usual routes are impassable-closed off by the disaster, infested with headcrabs and houndeyes and increasingly larger and hungrier creatures.As Gordon Freeman, you must enlist the help of traumatized scientists and trigger-happy security guards to get through high-security zones, sneaking and fighting your way through ruined missile silos and Cold War cafeterias, through darkened airducts and subterranean railways. When you finally come in sight of the surface, you realize that the inhuman monsters aren't your only enemies-for the government has sent in ruthless troops and stealthy assassins. Their orders seem to be that when it comes to the Black Mesa, nothing gets out alive... and especially not you.When even your own species turns against you, maybe you'll be glad to see another portal beckoning. But then again, on Earth you have allies; while on the far side of the portal, nothing at all is familiar except the sense of danger.","['driving', 'platform', 'puzzle', 'adventure', 'fighting', 'shooter', 'action']","['exciting', 'mysterious', 'serious', 'disconcerting', 'suspenseful', 'adventurous', 'dark', 'challenging']","Combat and Destruction, Cooperation, Exploration, Gathering and Collection, High, Low, Planning and Strategy",Online (Steam),"['Macintosh', 'Windows', 'Linux']",Realistic,15,US,True,tense,"{""cluster"": ""suspense"", ""vibe"": ""high"", ""tempo"": ""fast"", ""color_palette"": ""dark"", ""other"": ""chaotic, horror""}"
1059,Grand Theft Auto: San Andreas,"Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas, a city tearing itself apart with gang trouble, drugs and corruption. Where film stars and millionaires do their best to avoid the dealers and gangbangers.Now, it’s the early 90’s. Carl’s got to go home. His mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster. On his return to the neighborhood, a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets.","['driving', 'flying', 'adventure', 'shooter', 'action']","['liberating', 'exciting']","Combat and Destruction, Cooperation, Driving, Riding and Flying, Exploration, High, Low, Medium, Trade",Online (Steam),"['Windows', 'PlayStation 4', 'PlayStation 3', 'Macintosh']",Realistic,18,US,True,gritty,"{""cluster"": ""dramatic"", ""vibe"": ""challenging"", ""tempo"": ""medium"", ""color_palette"": ""dark"", ""other"": ""urban, nostalgic""}"
3465,Team Fortress 2,"Team Fortress 2 (TF2) is the sequel to the game that put class-based, multiplayer team warfare on the map. This year’s most anticipated online action game, TF2 delivers new gametypes, a signature art style powered by Valve’s next generation animation technology, persistent player statistics, and more.","['fighting', 'shooter', 'platform', 'action']",['exciting'],"Combat and Destruction, Cooperation, Creation and Customization, Gathering and Collection, High, Low, Medium, Planning and Strategy, Trade",Online (Steam),"['Linux', 'Macintosh', 'Windows']",Cartoonish,13,US,True,playful,"{""cluster"": ""light-hearted"", ""vibe"": ""competitive"", ""tempo"": ""medium"", ""color_palette"": ""bright"", ""other"": ""cartoonish, team-oriented""}"
4354,World of Warcraft,"A World Awaits...Descend into the World of Warcraft and join thousands of mighty heroes in an online world of myth, magic and limitless adventure. Jagged snowy peaks, mountain fortresses, harsh winding canyons. Zeppelins flying over smoldering battlefields, epic sieges an infinity of experiences await. So what are you waiting for?","['driving', 'role-playing', 'mmo', 'flying', 'adventure', 'action']","['epic', 'liberating', 'adventurous', 'exciting']","Administration and Management, Combat and Destruction, Competition, Cooperation, Creation and Customization, Driving, Riding and Flying, Exploration, Gathering and Collection, High, Interactions / Conversations, Low, Medium, Planning and Strategy, Trade, World Interaction",Online (Google Play),"['Android', 'Windows', 'Macintosh', 'iPad', 'iPhone / iPod Touch']",Cartoonish,13,US,True,adventurous,"{""cluster"": ""fantasy"", ""vibe"": ""immersive"", ""tempo"": ""medium"", ""color_palette"": ""bright"", ""other"": ""epic, social, dynamic""}"
6697,Left 4 Dead 2,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. You'll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You'll also encounter five new ""uncommon"" common infected, including the terrifying Mudmen.Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you'll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play.","['platform', 'adventure', 'fighting', 'shooter', 'action']","['serious', 'disconcerting', 'exciting']","Combat and Destruction, Cooperation, Exploration, Gathering and Collection, High, Low, Medium",Online (Steam),"['Linux', 'Macintosh', 'Windows', 'Xbox 360']",Realistic,18,US,True,intense,"{""cluster"": ""action horror"", ""vibe"": ""high challenge"", ""tempo"": ""fast"", ""color_palette"": ""dark"", ""other"": ""cooperative, suspenseful""}"
8121,League of Legends,"League of Legends is a team-based strategy game where two teams of five powerful champions face off to destroy the other’s base. Choose from over 140 champions to make epic plays, secure kills, and take down towers as you battle your way to victory.","['strategy', 'role-playing', 'action']","['ingenious', 'exciting']","Administration and Management, Combat and Destruction, Cooperation, Gathering and Collection, High, Low, Planning and Strategy, Trade",Online (Official Game Website),"['Windows', 'Macintosh']","Artistic, Cartoonish",13,US,True,competitive,"{""cluster"": ""intense"", ""vibe"": ""high-stakes"", ""tempo"": ""fast"", ""color_palette"": ""bright"", ""other"": ""strategic, teamwork-oriented""}"
14788,Dota 2,"Dota is a competitive game of action and strategy, played both professionally and casually by millions of passionate fans worldwide. Players pick from a pool of over a hundred heroes, forming two teams of five players. Radiant heroes then battle their Dire counterparts to control a gorgeous fantasy landscape, waging campaigns of cunning, stealth, and outright warfare.Irresistably colorful on the surface, Dota is a game of infinite depth and complexity. Every hero has an array of skills and abilities that combine with the skills of their allies in unexpected ways, to ensure that no game is ever remotely alike. This is one of the reasons that the Dota phenomenon has continued to grow. Originating as a fan-made Warcraft 3 modification, Dota was an instant underground hit. After coming to Valve, the original community developers have bridged the gap to a more inclusive audience, so that the rest of the world can experience the same core gameplay, but with the level of polish that only Valve can provide.Get a taste of the game that has enthralled millions.","['strategy', 'role-playing', 'action']","['ingenious', 'exciting']","Administration and Management, Combat and Destruction, Competition, Cooperation, Creation and Customization, Driving, Riding and Flying, Gathering and Collection, High, Low, Planning and Strategy, Socializing, Trade, World Interaction",Online (Steam),"['Windows', 'Macintosh', 'Linux']",Realistic Artistic,13,US,True,intense,"{""cluster"": ""competitive"", ""vibe"": ""challenging"", ""tempo"": ""fast"", ""color_palette"": ""vibrant"", ""other"": ""strategic, cooperative""}"
15087,APB: Reloaded,"The world’s first and premier Action MMO Third Person Shooter allows you to choose between two sides of the law. Play as Enforcer or Criminal, customize your gear for the task at hand and hit the streets and play how you want in a city filled with more action this side of a Hollywood blockbuster.In the world of APB:Reloaded the line is drawn between those that enforce the law and those that break it. Play the world’s first and premier Action MMO Third Person Shooter.Choose to be a licensed Enforcer and stop crimes, serve the citizens of San Paro and lay down the law to whomever decides to break it.Choose a Criminal life and take what you want, destroy whatever you want and strike fear into anyone who dares cross your path.No matter what your choice APB:Reloaded offers players the richest character customization available today and tons of modifications to be used with your weapons or vehicles. APB:Reloaded allows you to play your way in two large city districts, multiple multiplayer game modes and a progression system filled with rewards, equipment and cash.So pick a side, choose your gear, team up and take your battle to the streets.If you can talk the talk, APB Reloaded will challenge you to walk the walk.","['driving', 'platform', 'music', 'role-playing', 'mmo', 'adventure', 'fighting', 'shooter', 'action', 'racing']",['exciting'],"Combat and Destruction, Competition, Cooperation, Creation and Customization, Driving, Riding and Flying, Exploration, High, Low, Medium, Planning and Strategy, Trade, World Interaction",Online (Playstation Network),"['PlayStation 4', 'Windows', 'Xbox One']",Realistic,18,US,True,adrenaline-fueled,"{""cluster"": ""action-oriented"", ""vibe"": ""high-stakes"", ""tempo"": ""fast"", ""color_palette"": ""vibrant"", ""other"": ""urban, competitive, customizable""}"
15530,The Elder Scrolls V: Skyrim,"The Game of a GenerationVoted 'The Best Game of the Generation' by amazon.co.uk users, andAbout the GameEPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. LIVE ANOTHER LIFE, IN ANOTHER WORLD Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. ALL NEW GRAPHICS AND GAMEPLAY ENGINE Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. YOU ARE WHAT YOU PLAY Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. DRAGON RETURN Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself.","['platform', 'puzzle', 'role-playing', 'adventure', 'fighting', 'shooter', 'action']","['serious', 'liberating', 'exciting']","Administration and Management, Combat and Destruction, Cooperation, Creation and Customization, Driving, Riding and Flying, Exploration, Gathering and Collection, High, Interactions / Conversations, Low, Medium, Planning and Strategy, Trade, World Interaction",Online (Xbox Live Games on Demand),"['Xbox 360', 'Windows']",Realistic,15,US,True,adventurous,"{""cluster"": ""fantasy"", ""vibe"": ""exploratory"", ""tempo"": ""variable"", ""color_palette"": ""vibrant"", ""other"": ""immersive, epic, open-world""}"
17535,Minecraft,"Minecraft is a game about placing blocks and going on adventures.Explore randomly‐generated worlds and build amazing things from the simplest of homes to the grandest of castles. Play in Creative Mode with unlimited resources or mine deep into the world in Survival Mode, crafting weapons and armor to fend off dangerous mobs.Create, Explore and Survive alone or with up to 8 'crafters together online, while 4 can join each other in local multiplayer on the TV or in tabletop mode, supporting both split screen and the Pro Controller. Compete with your friends in Battle, Tumble or Glide - mini games for Minecraft console editions where you fight for survival and high scores; strategy, and sometimes just pure luck will make you the winner.","['driving', 'platform', 'strategy', 'role-playing', 'flying', 'adventure', 'fighting', 'shooter', 'action']","['adventurous', 'creative', 'liberating', 'destructive']","Administration and Management, Combat and Destruction, Competition, Cooperation, Creation and Customization, Driving, Riding and Flying, Exploration, Gathering and Collection, High, Low, Medium, Planning and Strategy, Socializing, Trade, World Interaction",Demo Release,"['PlayStation 4', 'Xbox One', 'Nintendo Wii U', 'Nintendo Switch', 'Android', 'iPhone / iPod Touch', 'PlayStation 5', 'iPad', 'PlayStation Vita', 'Xbox 360', 'Windows', 'Macintosh', 'New Nintendo 3DS', 'Linux', 'Xbox Series X|S', 'PlayStation 3']","Cartoonish, Voxel",7,US,True,playful adventure,"{""cluster"": ""exploratory"", ""vibe"": ""casual"", ""tempo"": ""variable"", ""color_palette"": ""bright"", ""other"": ""creative, social""}"
