mood,mood_description,related_words,game_tag
happy,"A deeply satisfying emotional state characterized by joy, contentment, and a sense of fulfillment. Individuals may feel light-hearted, optimistic, and inclined toward social connection or expressive celebration.","Joyful, cheerful, elated, content, blissful, ecstatic, jubilant, euphoric, delighted, overjoyed, thrilled, on cloud nine, radiant, gleeful, merry, exuberant, bubbly, upbeat, lighthearted, buoyant, pleased, satisfied, gratified, in high spirits, tickled pink, walking on air, chirpy, thrilled to bits, beaming, glowing, grinning, sunny, in seventh heaven, lively, animated, enthusiastic, blissed out, carefree, jubilant, in good spirits, joyous, sparkling, aglow, thrilled to pieces, happy-go-lucky, light as a feather, on top of the world, full of beans, over the moon, tickled, in a good mood, feeling fabulous, in heaven, tickled to death, in a state of bliss, overjoyed, thrilled beyond measure, ecstatic, feeling great, in a state of euphoria, full of joy, vibrant, exhilarated, in a cheerful mood, dancing with joy, in clover, shining, in paradise, feeling fine, on a high, brimming with joy, full of life, in a festive mood, basking in happiness.","joyful, light-hearted, playful, fun, adventurous"
sad,"A reflective and often isolating mood marked by feelings of loss, regret, or emotional pain. It tends to trigger introspection, lower energy, and a desire for comfort or solitude.","unhappy, melancholic, downhearted, blue, gloomy, despondent, sorrowful, disheartened, wistful, forlorn, mournful, heartbroken, dejected, crestfallen, somber, woeful, distressed, pensive, tearful, grieving, cheerless, dismal, heavy-hearted, troubled, dispirited, miserable, downcast, melancholia, regretful, low-spirited, rueful, down in the dumps, bleak, aching, disconsolate, glum, plaintive, morose, lugubrious, weepy, in low spirits, dolorous, sorrow-laden, heart-sick, bummed out, in the doldrums, wistfulness, melancholia, overcast, oppressed, hopeless, anguished, melancholy, regretful, cheerless, melancholy, wistful, introspective, sorry, heartache, heavy-hearted, morose, pained, subdued, grim, lamenting, wistful longing, on edge, lost, in the abyss, bleak, dreary, cold, wistful, somber, languishing.","calm, relaxing, joyful, light-hearted, whimsical"
angry,"A powerful emotional state driven by perceived wrongs, injustice, or frustration. Often accompanied by heightened tension and a strong urge to react, confront, or assert oneself.","Furious, irate, livid, enraged, seething, fuming, wrathful, indignant, pissed off, heated, agitated, irritated, annoyed, vexed, infuriated, stormy, boiling, raging, mad, cross, exasperated, outraged, incensed, peeved, in a huff, seeing red, in a rage, hot under the collar, bent out of shape, fed up, worked up, on edge, ticked off, testy, cranky, riled up, fired up, grumpy, displeased, disgruntled, choleric, resentful, hostile, antagonistic, bitter, explosive, tempestuous, turbulent, bristling, frothing, brimming with anger, like a volcano ready to erupt, simmering, bristling, venomous, sharp-tongued, caustic, cutting, fiery, snappy, irascible, cantankerous, fractious, chafed, wrathful, heated, belligerent, combative, confrontational, snappish, miffed","action-packed, energetic, intense, engaging, combat-focused"
anxious,"A tension-filled mood involving excessive worry, nervous anticipation, or fear of uncertainty. People may experience restlessness, overthinking, or a need for reassurance and stability.","nervous, uneasy, restless, apprehensive, jittery, tense, worried, on edge, agitated, fretful, fearful, panicky, jumpy, stressed, distressed, frazzled, keyed up, overwrought, skittish, unsettled, uptight, on pins and needles, on tenterhooks, heart racing, butterflies in the stomach, sweating bullets, biting nails, tense as a coiled spring, uneasy feeling, feeling on thin ice, feeling like something bad is about to happen, clammy hands, pacing, nail-biting, dread, foreboding, queasy, a knot in the stomach, trembling, sweating, short of breath, feeling trapped, mind racing, overthinking, second guessing, feeling cornered, feeling overwhelmed, stomach in knots, feeling like a deer in headlights, clammy, white-knuckled, feeling like the sky is falling, feeling a storm brewing, feeling like a cat on a hot tin roof","calm, relaxing, lighthearted, joyful, wholesome"
relaxed,"An emotionally balanced and tension-free mood where the body and mind feel at ease. It invites calm, enjoyment of the present, and a preference for gentle, low-pressure environments.","calm, serene, peaceful, tranquil, at ease, laid-back, mellow, untroubled, composed, cool, unruffled, placid, easygoing, carefree, unhurried, chill, content, blissful, harmonious, restful, unworried, nonchalant, Zen, smooth, comfortable, cozy, at peace, satisfied, relieved, unwound, loose, unpressured, free-spirited, languid, dreamy, gentle, unflustered, soothed, calm as a millpond, taking it easy, in the zone, basking in the moment, floating, as cool as a cucumber, at rest, letting go, free and easy, tranquil as a summer's day, in harmony, on cloud nine, breathing easy, cushy, unburdened, without a care, happy-go-lucky, like a gentle breeze, weightless, as light as a feather, basking in tranquility, just chilling, going with the flow, without fret, footloose, feeling groovy, loosey-goosey, unfazed, in a good place, mellowed out, as still as a quiet pond, unwound, sipping tea on a sunny porch, in a bubble, floating on air, in high spirits, easy-breezy, in repose, free as a bird, detached, laid-back.","calm, relaxing, exploration, whimsical, lighthearted"
excited,"A high-energy emotional state marked by anticipation, enthusiasm, and positivity. Individuals often seek novelty, fun, or stimulation and may express energy through action or speech.","thrilled, ecstatic, overjoyed, elated, jubilant, pumped, exhilarated, buzzing, on cloud nine, euphoric, fired up, animated, enthusiastic, spirited, high-spirited, lively, giddy, rapturous, in high spirits, electrified, charged, agog, bouncy, bouncing off the walls, hyper, stoked, jazzed, on top of the world, keyed up, wired, exuberant, passionate, fervent, aflame, ablaze, aglow, fervid, raring to go, chomping at the bit, can't wait, chomping at the bit, eager beaver, full of beans, rhapsodic, turned on, hyped, psyched, beside oneself, intense, upbeat, over the moon, thrilled to bits, walking on air, in a tizzy, tickled pink, sky-high, careening with joy, sparkling, brimming with anticipation, feeling alive, starry-eyed, in a frenzy, lit up, vibrating with energy, heart racing, feeling like a kid in a candy store.","action-oriented, adrenaline, exciting, epic adventure, engaging"
bored,"A mood resulting from monotony or lack of meaningful engagement. It drives people to seek novelty, faster stimulation, or anything to break the current routine.","listless, uninterested, apathetic, dull, tedious, monotonous, weary, uninspired, jaded, restless, lethargic, idle, ennui, soporific, mundane, humdrum, dreary, mundane, tiresome, uninvolved, lackluster, blah, blah-blah, yawning, going through the motions, unengaged, flat, like watching paint dry, mind-numbing, stale, deadpan, indifferent, blahs, in a rut, unenthusiastic, tediousness, slothful, passive, indifferent, snooze-fest, humdrum, unvaried, dry, spiritless, half-hearted, weary-eyed, unmotivated, gray, inanimate, stagnant, blah feeling, same old, punch-drunk, world-weary, ho-hum, mindless, droning, dragging, time standing still, lifeless, clock-watching, dreariness, tedium, disinterested, vacant, empty, going nowhere, wooden, everyday, numb, slack, kill time, clock-gazing.","action-packed adventure, adventurous, energetic, fun, playful"
focused,"A laser-sharp cognitive and emotional state oriented toward deep engagement in a task. Distractions are minimized, and there's a strong sense of purpose and control.","concentrated, attentive, engaged, absorbed, immersed, intent, committed, dedicated, single-minded, driven, fixated, on-task, in the zone, tunnel vision, locked in, goal-oriented, unwavering, determined, sharp, keen, laser-focused, purposeful, diligent, resolute, steadfast, mindful, vigilant, alert, meticulous, systematic, thorough, detail-oriented, unwavering, engrossed, riveted, disciplined, clear-headed, on point, zeroed in, unyielding, tenacious, goal-driven, heads-down, concentrated effort, all in, eyes on the prize, unwavering attention, on a mission, pinpointed, undistracted, fixated, committed, absorbed in thought, in the groove, locked on, concentrated, relentless, unrelenting, focused energy, intense focus, on track, precision-minded, attentive to detail, fully present, unwavering focus, head in the game","challenging, strategic, immersive, intense, combat-focused"
restless,"A discontent mood characterized by physical or mental agitation. The person may feel the urge to move, switch activities, or escape from a lack of stimulation or inner tension.","agitated, anxious, unsettled, fidgety, uneasy, jittery, on edge, tense, nervous, impatient, twitchy, skittish, frantic, hyperactive, frazzled, jumpy, in turmoil, antsy, disquieted, distracted, frenetic, turbulent, stirred up, flustered, keyed up, wired, churning, in a frenzy, unsettled, in a state, wound up, restless energy, on pins and needles, itchy feet, like a cat on a hot tin roof, in a dither, in a tizzy, unsettled mind, mentally scattered, unable to relax, like a caged lion, pacing, like a fish out of water, humming with energy, on tenterhooks, feeling unsettled, in a whirl, buzzing with nervous energy, can't sit still, feeling boxed in, feeling hemmed in, impatiently waiting, feeling in limbo, feeling out of sorts, in a stew, like a pot about to boil over, feeling like a coiled spring, emotionally unsettled, mentally restless, feeling like a live wire, unable to find peace, feeling stirred up, internally agitated, feeling at loose ends.","action-packed adventure, energetic, engaging, exploration, exciting"
playful,"A mood of spontaneity, joy, and humor. It thrives on light-hearted interaction, creativity, and exploration without pressure or judgment.","cheerful, lighthearted, whimsical, mischievous, frolicsome, spirited, jolly, gleeful, buoyant, impish, lively, exuberant, perky, jovial, merry, carefree, sprightly, vivacious, bubbly, animated, frisky, exuberant, radiant, sunny, bright-eyed, chipper, peppy, bouncy, effervescent, zesty, jaunty, rollicking, fun-loving, devilish, high-spirited, droll, tickled, giggly, rollicking, impudent, puckish, roguish, blithe, jesting, teasing, jocular, sportive, zany, joyous, ecstatic, merry-hearted, prankish, waggish, irrepressible, daffy, gleeful, smiling, chortling, chirpy, upbeat, kooky, jester-like, fun-filled, antic, clownish, high on life, amusing, light-hearted, mirthful, joker, jester, jestful","playful, adventurous, fun, joyful, whimsical"
cozy,"An emotionally safe and warm state associated with physical comfort, gentle surroundings, and a sense of protection or familiarity, like being wrapped in a soft blanket.","warm, snug, comfortable, safe, secure, homely, inviting, content, peaceful, relaxed, intimate, soothing, gentle, mellow, serene, tranquil, cocooned, cherished, enveloped, blissful, heartwarming, nurturing, sheltered, at ease, restful, calming, cherished, tucked in, enveloping, serene, snug as a bug, toasty, cushy, restful, homey, laid-back, untroubled, tranquil, balm for the soul, honeyed, velvety, plush, soft, embracing, tender, heartening, genial, soothing, cherished moments, hearthside, fireside, wrapped up, all is well, gentle glow, whispering comfort, tucked away, safe haven, relaxed, gentle embrace, peace of mind, hands held, lullaby-like, soft embrace, gentle warmth, tender moments, mellow tones, serene quietude, blissful ease, warm blanket, gentle whisper, hushed tones, soft lull, serenity, warm hug, gentle touch, tranquil harmony, comforting cocoon.","calm, relaxing, light-hearted, whimsical, wholesome"
lonely,"A poignant emotional experience rooted in perceived social disconnection. It may evoke sadness, longing, or a craving for meaningful companionship.","Isolated, forlorn, abandoned, desolate, solitary, deserted, empty, bereft, lonesome, alienated, disconnected, estranged, remote, cut off, unsociable, friendless, outcast, unloved, homesick, neglected, melancholy, wistful, blue, invisible, unimportant, lost, adrift, yearning, longing, hollow, aching, misunderstood, apart, detached, separated, single, withdrawn, apart, solo, displaced, unaccompanied, vacant, void, apart, hidden, veiled, obscure, shadowed, obscure, veiled, cold, distant, cold-shouldered, secluded, out of touch, pensive, introspective, brooding, quiet, silent, unspoken, mute, mum, introverted, uncommunicative, sad, sorrowful, downcast, heartache, grieving, mourning, despondent, inconsolable, restless, uneasy, uncomfortable, distressed, troubled, hurting, struggling, pained, heartbroken, despairing, hopeless","calm, relaxing, immersive, exploration, wholesome"
confident,An empowered state of mind where self-trust and clarity lead to assertiveness and calm determination. Challenges feel surmountable and actions feel aligned.,"Assured, self-assured, empowered, bold, fearless, optimistic, determined, secure, poised, assertive, self-reliant, self-possessed, spirited, unflappable, composed, unwavering, bold as brass, sure-footed, in command, gutsy, unshakeable, self-confident, brave, gallant, valiant, plucky, dauntless, lion-hearted, resolute, head held high, sure of oneself, full of beans, steel-spined, stout-hearted, in control, cocky, swaggering, fearless, on top of the world, ready for anything, masterful, competent, adept, proficient, skilled, accomplished, capable, self-sufficient, unabashed, forthright, outspoken, rock-steady, intrepid, tenacious, spunky, go-getter, feeling unstoppable, in the zone, at ease, unperturbed, ready to take on the world.","action-oriented, energetic, epic, exciting, adventurous"
insecure,"An emotionally fragile state driven by self-doubt, fear of rejection, or comparison. Often results in withdrawal, overcompensation, or a search for external validation.","Uncertain, anxious, doubtful, uneasy, self-conscious, apprehensive, hesitant, worried, nervous, insecure, vulnerable, self-doubting, unsure, timid, lacking confidence, fearful, jittery, unsettled, on edge, tense, paranoid, self-critical, fragile, shaky, insecure, fretful, restless, lacking assurance, fragile, unsteady, uneasy, insecure, diffident, lacking self-esteem, skittish, self-skeptical, lacking poise, precarious, hesitant, insecure, lacking conviction, lacking confidence, unsure of oneself, insecure, second-guessing, self-questioning, anxious, ill-at-ease, insecure, insecure, insecure, insecure","calm, relaxing, light-hearted, joyful, wholesome"
curious,"A driven state of wonder and exploration. People are open to new ideas, eager to learn, and fueled by a need to discover the unknown or solve mysteries.","inquisitive, intrigued, eager, interested, questioning, probing, nosy, fascinated, speculative, investigative, explorative, wondering, searching, open-minded, puzzled, mystified, captivated, absorbed, keen, observant, alert, attentive, eager-eyed, wide-eyed, astonished, perplexed, analytical, reflective, thoughtful, contemplative, snoopy, suspicious, hungry for knowledge, on the edge of their seat, like a cat with nine lives, itching to know, burning with curiosity, inquiring, ravenous for information, thirsting for knowledge, on a quest for answers, detective-like, Sherlock Holmes mode, wanting to learn, chasing the unknown, driven by wonder, with bated breath, mind racing, full of questions, investigative spirit, piqued interest, drawn in, head-scratching, hooked, ensnared, spellbound, enchanted, bewitched, on a journey of discovery, treasure hunting for answers, like a moth to a flame, magnetized, insatiably curious, with eyes peeled, yearning to discover, like a sponge for information, captivated by mystery, caught in a web of questions","adventurous, explorative, exploration, creative, whimsical"
